noise_type,noise_fraction,n,final_accuracy_mean,top5_accuracy_mean,final_parent_accuracy_mean,hier_dist_mean,severity_weighted_acc_mean,ece_mean,final_accuracy_std,top5_accuracy_std,final_parent_accuracy_std,hier_dist_std,severity_weighted_acc_std,ece_std
cyclic,0.0000,3,73.196667,93.390000,79.336667,0.960067,78.330000,0.017945,0.225462,0.052914,0.162582,0.008719,0.185809,0.002354
cyclic,0.0500,3,72.750000,93.090000,78.620001,0.984133,77.850000,0.011736,0.295127,0.036058,0.108165,0.010510,0.221529,0.000533
cyclic,0.1000,3,72.466667,92.830000,77.703335,1.000133,77.550000,0.023690,0.285715,0.017320,0.158218,0.011344,0.227871,0.002584
cyclic,0.2000,3,71.700000,92.036668,74.663333,1.046000,76.685000,0.050240,0.262869,0.105039,0.375812,0.011494,0.251048,0.004273
cyclic,0.3000,3,70.666667,91.613332,68.860000,1.115267,75.455000,0.072012,0.165630,0.124233,0.531133,0.005608,0.168893,0.003947
cyclic,0.5000,3,67.350000,90.830000,39.813334,1.345400,71.496667,0.095460,0.238956,0.245764,1.473307,0.027869,0.426917,0.001157
cyclic,0.7000,3,61.383333,89.706665,11.643333,1.731400,64.595000,0.084170,1.205003,0.125033,0.466083,0.084879,1.393314,0.008002
cyclic,1.0000,3,47.930000,88.336668,1.973333,2.551333,49.905000,0.025403,1.039279,0.075056,0.127410,0.065844,1.188266,0.002130
in_domain,0.0000,3,73.196667,93.390000,79.336667,0.960067,78.330000,0.017945,0.225462,0.052914,0.162582,0.008719,0.185809,0.002354
in_domain,0.0500,3,72.983333,93.280001,79.080000,0.971333,78.041667,0.013400,0.310859,0.034643,0.272214,0.010874,0.244046,0.001909
in_domain,0.1000,3,72.570000,93.120001,78.656665,0.986333,77.658333,0.028246,0.180278,0.020000,0.122201,0.005508,0.143643,0.000867
in_domain,0.2000,3,72.226667,92.763333,77.893335,1.006333,77.195000,0.062144,0.466083,0.030552,0.231803,0.016210,0.405309,0.002833
in_domain,0.3000,3,71.780000,92.430001,76.960001,1.031533,76.630000,0.093436,0.079373,0.040001,0.413280,0.002759,0.117154,0.003394
in_domain,0.5000,3,70.596667,91.863334,67.043334,1.088667,75.276667,0.150101,0.275015,0.076377,0.700880,0.010304,0.261932,0.003579
in_domain,0.7000,3,68.833333,90.916667,37.913333,1.171667,73.278333,0.194402,0.336502,0.140121,2.027864,0.014008,0.360185,0.004618
in_domain,1.0000,3,63.973333,89.236667,1.936667,1.397867,67.738333,0.228180,0.228546,0.371663,0.188768,0.009843,0.272137,0.006611
uniform,0.0000,3,73.196667,93.390000,79.336667,0.960067,78.330000,0.017945,0.225462,0.052914,0.162582,0.008719,0.185809,0.002354
uniform,0.0500,3,73.116667,93.283333,79.116666,0.969333,78.170000,0.012638,0.349476,0.025164,0.320832,0.010633,0.252933,0.003323
uniform,0.1000,3,72.913333,93.130000,79.110001,0.981133,77.973333,0.031314,0.125033,0.138923,0.204206,0.007516,0.106810,0.000126
uniform,0.2000,3,72.556667,92.956666,78.646668,0.998267,77.598333,0.069248,0.119304,0.161968,0.253839,0.002572,0.127704,0.001485
uniform,0.3000,3,72.563333,92.806667,78.096666,1.005467,77.563333,0.105157,0.136504,0.185829,0.235443,0.004319,0.052994,0.001300
uniform,0.5000,3,72.393333,92.143333,77.043333,1.023067,77.225000,0.175321,0.337095,0.155347,0.290229,0.014741,0.328900,0.005808
uniform,0.7000,3,71.723333,91.916668,74.710000,1.061200,76.488333,0.230521,0.265581,0.051315,0.099999,0.013110,0.248261,0.006026
uniform,1.0000,3,71.193333,90.866667,0.393333,1.104400,75.670000,0.317825,0.466940,0.105987,0.127017,0.017822,0.412432,0.006590
